HolderAddress,Balance
0x70b52e750a1a059447ad727f8FA6d9326673C63f,70959791.3234904
0xFaB92e973096623F071f27eEAAD5e7B647672cfd,65295099.006215
0x6973a5D5e2Bd3bBDe498104FeCDF3132A3c545aB,64412575.4369543
0x7F952E1470569cd81C32B4fED3c8269B1a7c9051,61071854.2135537
0x3c6ba6413c7840eeffe58fe9a1833f26f94db0bd,60771330.8438155
0xe9a96b6a35dd75f2660e1e27c976710b4781aa19,58193028.9522734
0x5338035c008ea8c4b850052bc8dad6a33dc2206c,56461801.0452162
0xfd6d3a8f66d9f9661a6d5c80e75bd0614058c438,55195479.6925047
0xac46f3e0f12f066faf2793986c000db3497089a5,51378322.772754
0xfcf6a3d7eb8c62a5256a020e48f153c6d5dd6909,44349576.4421749
0x7546e84244484e329dad8ed9584814719200e34c,43307919.5190377
0x38a4d889a1979133fbc1d58f970f0953e3715c26,40785982.5240081
0xc2b02eda5ced799e554d2e5492819df918160008,38447307.6324248
0x14413512e7aabc4a523ef3bfdbdaaa166557f332,37634299.5815702
0x7233581a7380acd4510dc5ffbdf9bbba348da1cd,37565006.7706351
0x65c3bb1b7d2ecd0261fff2fbdbdcf8a7b8d0e0b1,36993634.9917044
0x30645a0f9b93633453493cb4029fa9f2a4e9460b,35547716.7361605
0x09d4083ffd20d21acb9118465ad7c52ac8b548f7,34941509.7383081
0x59b429647fcc0a29166baf2707db5d61f0572865,34365763.3263893
0xec641c2181b6a3b9f202645eb56adc652f4563bd,32575330.2786278
0xbba1a86d214c6609e7ec7997fa9fb23e55ae292a,32322932.3685838
0x2461fb825a47fed154776205842135972f4f4b88,30826839.0033438
0xe33e5bb1ff9225bb9876f4decf675d40a07d05e5,30117838.5528717
0x72892ff2c572f7046a4be06fec8a8831492281b7,30000000.000003
0x5be8f739c8ea94d99b44ab0b1421889c8b99b2e1,29887166.9995119
0x1e82e222564293e3507c2966b27f587ee2570671,29284383.9642993
0x39653abf3bbfef3312c467c7fbc79654fc5644ff,28353651.4293767
0x687e6c2d22cf5768650d7af7b3d88bfac5d3d498,27999947.057474
0xa32fcc1b3d4e2b597cf626f98228e68b63ef46f0,27977513
0x88923378021bea85f9b09ce571a309e12c7d2262,27637369.3873394
0x47c2ac06520722aaa3e32d99ec6a2352b48b1b8a,25962328.6601296
0xbc7b2461bfaa2fb47bd8f632d0c797c3bfd93b93,25731232.4594335
0x26231b480caacd2874b7761dd22790c6ec14059e,25700801.6288744
0x91b305f0890fd0534b66d8d479da6529c35a3eec,25582367.8952101
0x0cb7d023f049585bdb6ea48733d2b94926f1ca60,25228739.1407492
0xb05738072dc5f8576e95bcca7f8e5e330d4d22a1,25199298.2811929
0x5fc72b6e447a92b39a37de0cce482890eb7baf44,24338266.36675
0x2bb9372198f259704ab6a93365e584c4a135490e,22995997.1457531
0x414533f66a8359db22c3b74733826fdfe7fcc72f,22754495.9685075
0xf9001a57d0aac84abbb7156a5825530cb163a2e0,22754446.8852096
0x513cd848a8a4216a3a60363a5fe89f14c7198e30,22748026.9072362
0xf54cbf4b5a58c822d2f78de5808ccc138ca7b906,22660234.5377265
0x2e93cb2c1dd55938987b3763b9920be0ae2ef90f,21434678.4402787
0x1509ccc943fb1066bb5c9685ff27fca82aa817e0,20838114.5725307
0xf4faca935238f1f12ce0e5499a567946b8556a0b,20767884.3595885
